idioma,traduccion
I'm grieving.,Estoy de luto.
I'm gullible.,Soy ingenuo.
I'm hesitant.,Estoy vacilante.
I'm hurt bad.,Estoy gravemente herido.
I'm in Perth.,Estoy en Perth.
I'm innocent.,Soy inocente.
I'm literate.,Soy culto.
I'm new here.,Soy nuevo aquí.
I'm no angel.,No soy un ángel.
I'm no rebel.,Yo no soy un rebelde.
I'm no rebel.,Yo no soy ningún rebelde.
I'm not bald.,No soy calvo.
I'm not bald.,No estoy calvo.
I'm not busy.,No estoy ocupado.
I'm not deaf.,No estoy sordo.
I'm not dumb.,No soy estúpido.
I'm not here.,Yo no estoy aquí.
I'm not lazy.,No soy perezoso.
I'm not poor.,No soy pobre.
I'm not rich.,No soy rico.
I'm not sick.,No estoy enferma.
I'm not sure.,No estoy seguro.
I'm not tall.,No soy alto.
I'm painting.,Estoy pintando.
I'm pregnant.,Estoy embarazada.
I'm pregnant.,Estoy embarazado.
I'm prepared.,Estoy preparado.
I'm prepared.,Estoy preparada.
I'm rational.,Soy racional.
I'm relieved.,Me siento aliviado.
I'm restless.,Soy inquieto.
I'm restless.,Soy desasosegado.
I'm restless.,Soy intranquilo.
I'm shopping.,Estoy comprando.
I'm sleeping.,Estoy durmiendo.
I'm so alone.,Estoy tan solo.
I'm so happy.,Soy tan feliz.
I'm so happy.,Estoy tan feliz.
I'm so sorry.,Lo siento tanto.
I'm so sorry.,Lo lamento tanto.
I'm so tired!,¡Estoy tan cansado!
I'm so tired!,¡Estoy tan cansada!
I'm so tired.,Estoy muy cansado.
I'm starving!,¡Me muero de hambre!
I'm starving!,¡Me estoy muriendo de hambre!
I'm still up.,Todavía estoy levantado.
I'm stubborn.,Soy terco.
I'm studying.,Estoy estudiando.
I'm the best.,Soy el mejor.
I'm thinking.,Estoy pensando.
I'm thinking.,Estoy meditando.
I'm thirteen.,Tengo trece años.
I'm thorough.,Soy concienzudo.
I'm thrilled.,Estoy entusiasmado.
I'm tolerant.,Soy tolerante.
I'm very fat.,Estoy tan gordo.
I'm very fat.,Soy muy gordo.
I'm very fat.,Soy muy gorda.
I'm very fat.,Estoy muy gorda.
I'm very hot.,Estoy muy cachondo.
I'm very sad.,Estoy muy triste.
I'm very shy.,Soy muy tímido.
I'm very shy.,Soy muy tímida.
I'm with him.,Estoy con él.
I'm worn out.,Estoy exhausto.
I'm worn out.,Estoy reventado.
I've lost it.,Lo he perdido.
I've seen it.,Lo he visto.
Ice is solid.,El hielo es sólido.
Iron is hard.,El hierro es duro.
Is Monday OK?,¿Está bien el lunes?
Is Tom awake?,¿Está Tom despierto?
Is Tom crazy?,¿Tom está loco?
Is Tom cured?,¿Está Tom curado?
Is Tom drunk?,¿Tom está borracho?
Is Tom dying?,¿Se está muriendo Tom?
Is Tom happy?,¿Tom es feliz?
Is Tom lucid?,¿Tom es lúcido?
Is Tom there?,¿Está ahí Tom?
Is it a deer?,¿Eso es un ciervo?
Is it a trap?,¿Acaso es una trampa?
Is it a wolf?,¿Acaso es un lobo?
Is it a wolf?,¿Es un lobo?
Is it an elk?,¿Eso es un alce?
Is it broken?,¿Está roto?
Is it enough?,¿Es suficiente?
Is that love?,¿Eso es amor?
Is that mine?,¿Es mío ése?
Is that mine?,¿Es ése el mío?
Is that true?,¿Es verdad?
Is this love?,¿Esto es amor?
Is this mine?,¿Es éste el mío?
Is this mine?,¿Es mío éste?
Is this nice?,¿Es esto bueno?
Is this real?,¿Esto es real?
Is this real?,¿Esto es auténtico?
Is this wine?,¿Esto es vino?
It has begun.,Ha empezado.
It has begun.,Empezó.
It has begun.,Comenzó.
It is a book.,Esto es un libro.
It isn't new.,No es nuevo.
It looks fun.,Se ve divertido.
It may break.,Se puede romper.
It may break.,Puede que se rompa.
It was black.,Era negro.
It was gross.,Fue repugnante.
It was magic.,Fue mágico.
It was night.,Era de noche.
It wasn't me.,Yo no fui.
It went well.,Salió bien.
It will burn.,Se quemará.
It'll be fun.,Eso será divertido.
It'll be fun.,Será divertido.
It's a curse.,Es una maldición.
It's a trick.,Es una trampa.
It's amazing.,¡Eso es increíble!
It's bedtime.,Es hora de irte a la cama.
It's for Tom.,Es para Tom.
It's for you.,Esto es para usted.
It's morning.,Es por la mañana.
It's my book.,Es mi libro.
It's my life.,Es mi vida.
It's my turn.,Es mi turno.
It's my turn.,Me toca.
It's no joke.,No es una broma.
It's on fire.,Está en llamas.
It's our car.,Es nuestro carro.
It's our job.,Es nuestro trabajo.
It's perfect.,Está perfecto.
It's snowing.,Está nevando.
It's so easy.,Es tan fácil.
It's strange.,Es extraño.
It's too big.,Es demasiado grande.
It's too hot.,Hace demasiado calor.
It's too hot.,Hace mucho calor.
It's too hot.,Está demasiado caliente.
It's useless.,Es inútil.
It's working.,Está funcionando.
Just ask Tom.,Solo pregúntale a Tom.
Just do that.,¡Tan solo hazlo!
Just hang on.,Sólo espera.
Just hold on.,Sólo espera.
Just say yes.,Nomás di que sí.
Just say yes.,Di que sí y ya.
Keep dancing.,Seguí bailando.
Keep digging.,Seguí cavando.
Keep driving.,Sigue conduciendo.
Keep looking.,Sigue mirando.
Keep reading.,Siga leyendo.
Keep reading.,Sigue leyendo.
Keep running.,Seguí corriendo.
Keep running.,Sigue corriendo.
Keep running.,Siga corriendo.
Keep running.,Sigan corriendo.
Keep singing.,Sigue cantando.
Keep smiling.,Sigue sonriendo.
Keep smiling.,Continúa sonriendo.
Keep smiling.,Sigan sonriendo.
Keep smiling.,Continuad sonriendo.
Keep talking.,Continuá hablando.
Keep talking.,Continúa hablando.
Keep talking.,Continúe hablando.
Keep walking.,Seguí caminando.
Keep writing.,Seguí escribiendo.
Let Tom come.,Deja venir a Tom.
Let Tom stay.,Deja que Tom se quede.
Let go of it.,Déjalo ir.
Let go of me!,¡Suéltame!
Let go of me.,Déjame ir.
Let me do it.,Deja que lo haga.
Let me leave!,¡Déjame salir!
Let me leave!,¡Déjame irme!
Let me speak.,Dejame hablar.
Let me think.,Déjame pensar.
Let's go eat.,Vamos a comer.
Let's go eat.,Vámonos a comer.
Let's go out.,Salgamos.
Let's listen.,Escuchemos.
Let's not go.,No vayamos.
Life goes on.,La vida continúa.
Life is hard.,La vida es dura.
Life's short.,La vida es corta.
Look at that!,¡Mira eso!
Look at that!,¡Fíjate en eso!
Look at that.,Míralo.
Look at that.,Mira eso.
Look at this.,Mira esto.
Look at this.,Fíjate en esto.
Look closely.,Mira atentamente.
Look closely.,Mira de cerca.
Look closely.,Mira detenidamente.
Make a guess.,Adivina.
Make it stop.,Haz que se detenga.
Mary came in.,Entró Mary.
Mary giggled.,Mary soltó una risita.
Mary is tall.,María es alta.
"Meat, please.","Carne, por favor."
Men are pigs.,Los hombres son cerdos.
"Move on, Tom.","Continúa, Tom."
"Move on, Tom.","Prosigue, Tom."
Move quietly.,Muévete sin hacer ruido.
My arm hurts.,Me duele el brazo.
My ears hurt.,Me duelen las orejas.
My feet hurt.,Me duelen los pies.
My hip hurts.,Me duele la cadera.
My jaw hurts.,Me duele la mandíbula.
My leg hurts.,Me duele la pierna.
No one knows.,Nadie sabe.
No one moved.,No se movió nadie.
No one moved.,Nadie se movió.
Nobody asked.,Nadie preguntó.
Nobody knows.,Nadie sabe.
Now I get it.,Ahora lo entiendo.
Now I get it.,Ahora lo cacho.
Now leave us.,Ahora déjanos.
Now sit down.,Ahora sentate.
Now try this.,Ahora probá este.
"Oh, I got it.","Ah, entiendo."
"Oh, I got it.","Oh, lo obtuve."
Open the box.,Abrí la caja.
Open the box.,Abra la caja.
Our team won.,Nuestro equipo ganó.
Please hurry!,"¡Por favor, apurate!"
Please leave.,"Por favor, márchese."
Please relax.,Por favor cálmate.
Please smile.,Sonríe.
Please smile.,Sonreíd.
Point it out.,Señalalo.
Pull it open.,Ábrela.
Pull it open.,Ábrela del todo.
Put it there.,Ponedlo allí.
Put it there.,Ponlo allí.
Put it there.,Pónganlo allí.
Put it there.,Ponlo ahí.
Recess ended.,Terminó el descanso.
Recess ended.,Se acabó el recreo.
Run and hide.,Corre y escóndete.
Say it again.,Repítelo.
School's out.,Se acabó la escuela.
School's out.,Se terminaron las clases.
See you at 7.,Nos vemos a las 7.
See you soon!,¡Hasta luego!
See you soon!,¡Hasta pronto!
See you soon!,Te veré pronto.
See you then.,Hasta entonces.
Shame on you!,¡Qué vergüenza!
Shame on you!,¡Avergüénzate!
She has wine.,Ella tiene vino.
She has wine.,Tiene vino.
She helps us.,Ella nos ayuda.
She is happy.,Ella es feliz.
She is quiet.,Ella es tranquila.
She is quiet.,Es tranquila.
She is quiet.,Está tranquila.
She is wrong.,Ella está equivocada.
She liked it.,Le gustó.
She loves us.,Ella nos quiere.
She may come.,Puede que venga.
She shot him.,Le disparó.
She stood up.,Ella se levantó.
She sued him.,Ella le demandó.
She went out.,Ella salió.
She's pretty.,Es guapa.
She's stupid.,No le llega agua al tanque.
She's stupid.,Es un salame.
Show me that.,Muéstrame eso.
Sing with us.,Canta con nosotros.
Someone came.,Ha venido alguien.
Someone came.,Alguien llegó.
Speak louder.,Habla más fuerte.
Speak softly.,Habla en voz baja.
Stay at home.,Quédate en casa.
Stay focused.,Concéntrate.
Stay focused.,No te desconcentres.
Stay focused.,Permanece atento.
Stay focused.,Céntrate.
Stay with me.,Quedate conmigo.
Stay with us.,Quedate con nosotros.
Stay with us.,Quédate con nosotros.
Step forward.,Da un paso al frente.
Stop arguing.,No discutas.
Stop arguing.,Deja de discutir.
Stop gawking.,Deja de mirar.
Stop pushing.,Deja de empujar.
Stop reading.,Deja de leer.
Stop reading.,Deje de leer.
Stop singing.,Deja de cantar.
Stop smoking.,Deja de fumar.
Stop staring.,Deja de mirarme.
Stop talking.,Cállate.
Stop the car.,Pará el coche.
Stop whining.,Deja de quejarte.
Stop whining.,Ya vale de tanto lamento.
Stop yelling.,Deja de gritar.
Sweet dreams!,¡Felices sueños!
Sweet dreams!,¡Dulces sueños!
Switch it on.,Enciéndelo.
Take a break.,Tómate un descanso.
Take a break.,Descansa.
Take a break.,Descanse.
Take command.,Toma el control.
Take command.,Hazte con el control.
Take control.,Toma el control.
Take it easy!,¡Relajate!
Take it home.,Llévatelo a casa.
Take it home.,Llévatelo.
Take my hand.,Toma mi mano.
Take the bus.,Tomate el bondi.
Take us home.,Llévanos a casa.
Tell me more.,Cuéntame más.
Tell me more.,Dime más.
Tell me more.,Dígame más.
Tell me more.,Cuénteme más.
Tell us more.,Dinos más.
Tell us more.,Díganos más.
Tell us more.,Dígannos más.
Tell us more.,Cuéntanos más.
Tell us more.,Cuéntenos más.
Tell us more.,Cuéntennos más.
Thanks a lot.,Se lo agradezco mucho.
Thanks a lot.,Muchas gracias.
Thanks a lot.,Muy agradecido.
Thanks a lot.,Te lo agradezco mucho.
Thanks again.,Gracias otra vez.
Thanks again.,¡Gracias nuevamente!
That does it.,Es el colmo.
That is mine.,Eso es mío.
That was Tom.,Ese era Tom.
That was bad.,Eso fue malo.
That was fun.,Eso fue divertido.
That was odd.,Eso fue raro.
That will do.,Eso bastará.
That will do.,Con eso bastará.
That will do.,Será suficiente.
That will do.,Eso vale.
That will do.,Con eso tengo.
That'll help.,Eso ayudará.
That'll last.,Durará.
That'll last.,Eso durará.
That'll work.,Funcionará.
That'll work.,Eso funcionará.
That'll work.,Eso me valdrá.
That's Tom's.,Eso es de Tomás.
That's a lie.,Eso es mentira.
That's a lot!,¡Es un montón!
That's crazy.,Es una locura.
That's cruel.,Eso es cruel.
That's my CD.,Es mi CD.
That's right.,Eso es.
That's right.,Así es.
That's weird.,Es raro.
That's weird.,Eso es extraño.
The two left.,Ambos se fueron.
They all sat.,Todos se sentaron.
They approve.,Aprueban.
They approve.,Ellos aprueban.
They are big.,Son grandes.
They came in.,Entraron.
They came in.,Llegaron.
They came in.,Ellas entraron.
They came in.,Ellas entraban.
They cheered.,Vitorearon.
They crashed.,Tuvieron un accidente.
They crashed.,Se chocaron.
They crashed.,Se estrellaron.
They escaped.,Se escaparon.
They gave up.,Abandonaron.
They gave up.,Se rindieron.
They gave up.,Desistieron.
They gave up.,Tiraron la toalla.
They hate us.,Ellos nos odian.
They help us.,Ellos nos ayudan.
They help us.,Ellas nos ayudan.
They knew me.,Me conocían.
They know me.,Ellos me conocen.
They know us.,Ellos nos conocen.
They laughed.,Rieron.
They love it.,Les encanta.
They love it.,Lo adoran.
They love me.,Ellos me aman.
They need me.,Ellos me necesitan.
They refused.,Se negaron.
They said no.,Dijeron que no.
They saw Tom.,Vieron a Tom.
They saw you.,Ellos te vieron.
They saw you.,Te vieron.
They stopped.,Pararon.
They sweated.,Sudaron.
They want me.,Me quieren.
They want me.,Me quieren a mí.
They want me.,Ellos me quieren a mí.
They'll call.,Llamarán.
They'll call.,Ellos llamarán.
They'll come.,Ellos vendrán.
They'll come.,Vendrán.
They'll know.,Lo sabrán.
They'll wait.,Esperarán.
They'll wait.,Aguardarán.
They're back.,Ellas están de vuelta.
They're back.,Ellos están de regreso.
They're boys.,Son chicos.
They're boys.,Ellos son chicos.
They're boys.,Son muchachos.
They're cold.,Ellos tienen frío.
They're eggs.,Son huevos.
They're fast.,Son rápidos.
They're fine.,Ellos están bien.
They're fine.,Están perfectamente.
They're fine.,Están estupendamente.
They're gone.,Se fueron.
They're good.,Son buenos.
They're here.,Están aquí.
They're here.,Aquí están.
They're here.,Se encuentran aquí.
They're home.,Están en casa.
They're mine.,Son míos.
They're mine.,Ellos son míos.
They're mine.,Ellas son mías.
They're nice.,Son simpáticos.
They're nice.,Están bien.
They're nice.,Son bonitos.
They're rich.,Son ricas.
They're ugly.,Son feos.
They're weak.,Son débiles.
They've gone.,Ellos han ido.
They've gone.,Ellas han ido.
They've gone.,Se han ido.
They've gone.,Se han marchado.
They've left.,Se han ido.
They've left.,Han salido.
Things break.,Las cosas se rompen.
This is easy.,Esto es sencillo.
This is fine.,Esto está perfecto.
This is food.,Esto es comida.
This is gold.,Esto es oro.
This is good.,Esto es bueno.
This is good.,Esto está bien.
This is hers.,Esto es suyo.
This is hers.,Esto es de ella.
This is life!,¡Esto es vida!
This is love.,Esto es amor.
This is mine.,Esto es mío.
This is mine.,Éste es el mío.
This is nice.,Esto está bueno.
This is nice.,Esto está bien.
This is nice.,Esto es estupendo.
This is nuts.,Esto es una locura.
This is ours.,Esto es nuestro.
This is ugly.,Esto es feo.
This'll help.,Esto ayudará.
This'll work.,Esto funcionará.
Tom answered.,Tom respondió.
Tom approves.,Tom aprueba.
Tom bit Mary.,Tom mordió a Mary.
Tom bores me.,Tom me aburre.
Tom can cook.,Tom puede cocinar.
Tom can help.,Tom puede ayudar.
Tom can swim.,Tom puede nadar.
Tom canceled.,Tom canceló.
Tom canceled.,Tom fue el que hizo la cancelación.
Tom enlisted.,Tom se enroló.
Tom felt sad.,Tom se sintió triste.
Tom finished.,Tom terminó.
Tom flinched.,Tom se encogió.
Tom got lost.,Tom se perdió.
Tom got shot.,A Tom le dispararon.
Tom got sick.,Tom se enfermó.
Tom has guts.,Tom tiene agallas.
Tom hates me.,Tom me odia.
Tom helps us.,Tom nos ayuda.
Tom hit Mary.,Tom golpeó a Mary.
Tom insisted.,Tom insistió.
Tom is a cop.,Tom es poli.
Tom is a vet.,Tom es un veterano.
Tom is a vet.,Tom es veterinario.
Tom is brave.,Tom es valiente.
Tom is cruel.,Tom es cruel.
Tom is dying.,Tom está muriendo.
Tom is gross.,Tom es asqueroso.
Tom is happy.,Tom es feliz.
Tom is loyal.,Tom es fiel.
Tom is lying.,Tom está mintiendo.
Tom is my ex.,Tom es mi ex.
Tom is naked.,Tom está desnudo.
Tom is naked.,Tom anda en canicas.
Tom is naked.,Tom anda bichi.
Tom is naked.,Tom anda jiruta.
Tom is naked.,Tom anda encuerado.
Tom is naked.,Tom anda encueroles.
Tom is nasty.,Tom es repugnante.
Tom is picky.,Tomás es mañoso.
Tom is quiet.,Tomás es tranquilo.
Tom is ready.,Tom está listo.
Tom is right.,Tom tiene razón.
Tom is short.,Tom es bajo.
Tom is timid.,Tom es tímido.
Tom is upset.,Tom está disgustado.
Tom is witty.,Tomás tiene chispa.
Tom is wrong.,Tom está equivocado.
Tom liked it.,A Tom le gustó.
Tom likes it.,A Tom le gusta.
Tom likes me.,Le gusto a Tom.
Tom likes me.,Tom me quiere.
Tom listened.,Tom escuchó.
Tom loves me.,Tom me ama.
Tom met Mary.,Tom conoció a Mary.
Tom needs me.,Tomás me necesita.
Tom needs us.,Tom nos necesita.
Tom panicked.,Fue Tom el que entró en pánico.
Tom panicked.,Tom entró en pánico.
Tom promised.,Tom prometió.
Tom promised.,Tom lo prometió.
Tom ran away.,Tom huyó.
Tom relented.,Tom cedió.
Tom relented.,Tom se aplacó.
Tom relented.,Tom se apiadó.
Tom resigned.,Tomás renunció.
Tom saw Mary.,Tom vio a Mary.
Tom screamed.,Tom gritó.
Tom shot her.,Tomás le disparó.
Tom shot him.,Tom le disparó.
Tom shrugged.,Tom se encogió de hombros.
Tom stutters.,Tom tartamudea.
Tom stutters.,Tom balbucea.
Tom survived.,Tom sobrevivió.
Tom vanished.,Tomás desapareció.
Tom was bald.,Tom estaba calvo.
Tom was hurt.,Tom fue herido.
Tom was lost.,Tom estaba perdido.
Tom was mean.,Tom fue ruin.
Tom was pale.,Tom estaba pálido.
Tom was sick.,Tom estaba enfermo.
Tom will cry.,Tom va a llorar.
Tom'll speak.,Tom hablará.
Tom'll speak.,Tom va a hablar.
Tom's coming.,Tomás está viniendo.
Tom's crying.,Tomás está llorando.
Tom's groggy.,Tom está grogui.
Tom's joking.,Tomás está bromeando.
Tom's stoned.,Tom está drogado.
Tom's strong.,Tom es fuerte.
"Tom, wake up.","Tom, despierta."
Trust in God.,Confiá en Dios.
Try the cake.,Prueba la tarta.
Try these on.,Pruébate estos.
Try this one.,Probá este.
Try to focus.,Intenta centrarte.
Unbelievable!,¡Eso es increíble!
Wait and see.,Espera y mira.
Wait and see.,Esperad y mirad.
Wait and see.,Espere y mire.
Wait for Tom.,Espera a Tom.
Wait for Tom.,Espera por Tom.
Wait outside.,Espera fuera.
Wake them up.,Despertalos.
"Wake up, Tom.","Despiértate, Tom."
Walk with me.,Camina conmigo.
Want a drink?,¿Quieres una bebida?
Wash the car.,Lava el auto.
We apologize.,Pedimos disculpas.
We are happy.,Somos felices.
We are young.,Somos jóvenes.
We can do it.,Podemos hacerlo.
We can't sue.,No podemos demandar.
We can't win.,No podemos ganar.
We got ready.,Nos preparamos.
We got ready.,Estábamos listos.
We had lunch.,Almorzamos.
We have some.,Tenemos algo.
We have some.,Tenemos algunos.
We have some.,Tenemos unos cuantos.
We have time.,Tenemos tiempo.
We have wine.,Tenemos vino.
We knew that.,Lo sabíamos.
We knew that.,Sabíamos eso.
We knew that.,Lo conocíamos.
We knew this.,Lo sabíamos.
We knew this.,Sabíamos esto.
We knew this.,Lo conocíamos.
We know that.,Lo sabemos.
We know that.,Sabemos eso.
We know this.,Lo sabemos.
We know this.,Conocemos esto.
We live here.,Vivimos aquí.
We live here.,Éste es nuestro hogar.
We love them.,Los amamos.
We love this.,Nos encanta esto.
We love this.,Esto nos encanta.
We loved Tom.,Queríamos a Tom.
We met today.,Nos vimos hoy.
We met today.,Nos encontramos hoy.
We must help.,Tenemos que echar una mano.
We must help.,Tenemos que ayudar.
We need help.,Necesitamos ayuda.
We need more.,Necesitamos más.
We need this.,Lo necesitamos.
We overslept.,Nos quedamos dormidos.
We overslept.,Dormimos demasiado.
We sat there.,Nos sentamos allí.
We sat there.,Nos sentábamos allí.
We sat there.,Nos sentamos ahí.
We should go.,Deberíamos irnos.
We succeeded!,¡Lo conseguimos!
We succeeded!,¡Lo logramos!
We surrender.,Nos rendimos.
We were hurt.,Estábamos heridos.
We were hurt.,Estábamos lastimados.
We'll go out.,Saldremos.
We're adults.,Somos adultos.
We're afraid.,Estamos asustados.
We're better.,Estamos mejor.
We're better.,Somos mejores.
We're closed.,Estamos cerrados.
We're coming.,Vamos a ir.
We're goners.,Estamos desahuciados.
We're hiding.,Nosotros estamos escondidos.
We're hungry.,Estamos hambrientos.
We're joking.,Estamos bromeando.
We're losing.,Estamos perdiendo.
We're moving.,Nos estamos mudando.
We're moving.,Nos mudamos.
We're moving.,Nos vamos a mudar.
We're moving.,Nos cambiamos.
We're pooped.,Estamos reventados.
We're pooped.,Estamos hechos polvo.
We're sleepy.,Tenemos sueño.
We're trying.,Lo intentamos.
We're trying.,Lo estamos intentando.
We've got it.,Lo hemos consegido.
We've got it.,Lo tenemos.
We've got it.,Lo hemos conseguido.
Welcome back.,Bienvenido de vuelta.
Welcome back.,Bienvenido de nuevo.
Welcome home.,Bienvenido a casa.
Welcome home.,Bienvenida a casa.
What a feast!,¡Qué festín!
What a night!,¡Qué noche!
What a phony!,¡Qué farsante!
What a shame!,¡Qué lástima!
What a shame!,¡Qué vergüenza!
What a shock!,¡Qué susto!
What a waste!,¡Qué desperdicio!
What a woman!,¡Qué mujer!
What an idea!,¡Qué idea!
What bit you?,¿Qué te picó?
What is that?,¿Qué es esto?
What is that?,¿Qué es aquello?
What is this?,¿Qué es esto?
What's on TV?,¿Qué hay en la televisión?
What's wrong?,¿Qué anda mal?
Where is she?,¿Dónde está ella?
Who are they?,¿Quiénes son ellos?
Who are they?,¿Quiénes son?
Who built it?,¿Quién lo construyó?
Who canceled?,¿Quién canceló?
Who canceled?,¿Quién fue el que hizo la cancelación?
Who has come?,¿Quién ha venido?
Who is there?,¿Quién está ahí?
Who listened?,¿Quién escuchó?
Who paid you?,¿Quién te pagó?
Who panicked?,¿Quién entró en pánico?
Who pays you?,¿Quién te paga?
Who resigned?,¿Quién renunció?
Who sent you?,¿Quién te envió?
Who told Tom?,¿Quién le contó a Tom?
Who vanished?,¿Quién desapareció?
Who wants it?,¿Quién lo quiere?
Who was that?,¿Quién era ese?
Who will pay?,¿Quién va a pagar?
Who'll start?,¿Quién empieza?
Who'll start?,¿Quién parte?
Who's coming?,¿Quién viene?
Who's hungry?,¿Quién tiene hambre?
Who's paying?,¿Quién va a pagar?
Why not both?,¿Por qué no ambos?
Why not both?,¿Por qué no ambas?
Why thank me?,¿Por qué me lo agradeces?
Why thank me?,¿Por qué me das a mí las gracias?
Will Tom die?,¿Va a morir Tom?
Will he live?,¿Acaso vivirá?
Won't you go?,¿No vas a ir?
Write in ink.,Escribe con tinta.
Write in ink.,Escriba con tinta.
Write in ink.,Escriban con tinta.
Write in ink.,Escribid con tinta.
Write to Tom.,Escribe a Tom.
Years passed.,Pasaron los años.
You amuse me.,Tú me diviertes.
You are good.,Eres bueno.
You are good.,Estás bien.
You are late.,Estás retrasado.
You are lazy!,¡Eres un vago!
You are rich.,Eres rico.
You are rich.,Eres rica.
You are rude.,Eres un maleducado.
You can come.,Puedes venir.
You can help.,Puedes ayudar.
You can rest.,Podés descansar.
You can stay.,Puedes quedarte.
You can't go.,No podés ir.
You go first.,Tú primero.
You go first.,Usted primero.
You go first.,Tú primera.
You go first.,Vos primero.
You go first.,Ustedes primero.
You go first.,Vosotros primero.
You go first.,Vosotras primero.
You go first.,Vaya usted primero.
You hurt him.,Lo heriste.
You know her.,Tú la conoces.
You know her.,Usted la conoce.
You know him.,Le conoces.
You know how.,Vos sabés cómo.
You look fat.,Te ves gordo.
You look hot.,Te ves acalorado.
You look hot.,Pareces acalorado.
You look hot.,Pareces acalorada.
You may look.,Puedes mirar.
You may look.,Pueden mirar.
You may look.,Podéis mirar.
You may swim.,Puedes nadar.
You must eat.,Tenés que comer.
You must try.,Tenés que intentar.
You promised.,Prometiste.
You promised.,Tú prometiste.
You promised.,Vos prometiste.
You promised.,Prometió.
You promised.,Usted prometió.
You promised.,Prometisteis.
You promised.,Vosotros prometisteis.
You promised.,Prometieron.
You promised.,Ustedes prometieron.
You promised.,Lo prometiste.
You promised.,Lo prometió.
You promised.,Lo prometisteis.
You promised.,Lo prometieron.
You scare me.,Me asustas.
You scare me.,Me das miedo.
You survived.,Sobreviviste.
You survived.,Tú sobreviviste.
You survived.,Sobrevivió.
You survived.,Vos sobreviviste.
You survived.,Usted sobrevivió.
You survived.,Sobrevivisteis.
You survived.,Vosotros sobrevivisteis.
You survived.,Sobrevivieron.
You survived.,Ustedes sobrevivieron.
You will see.,Ya verás.
You'll be OK.,Estarás bien.
You're a pig.,Sos un cerdo.
You're crazy.,Estás loco.
You're crazy.,Estás loca.
You're cruel.,Es cruel.
You're cruel.,Eres cruel.
You're cruel.,Es usted cruel.
You're drunk.,Estás borracha.
You're drunk.,Estás borracho.
You're fired.,Está despedido.
You're fired.,Está despedida.
You're fired.,Estáis despedidos.
You're fired.,Estáis despedidas.
You're fired.,Estás despedida.
You're fired.,Están despedidos.
You're fired.,Están despedidas.
You're first.,Tú eres el primero.
You're first.,Tú vas el primero.
You're first.,Te toca primero.
You're first.,Tú vas primero.
You're funny.,Eres gracioso.
You're great.,Eres genial.
You're great.,Eres estupendo.
You're gross!,Estás gordo.
You're gross.,Tú estás obeso.
You're lying.,Estás mintiendo.
You're lying.,Ustedes están mintiendo.
You're naive.,Sos ingenuo.
You're naive.,Eres ingenuo.
You're right.,Tienes razón.
You're sharp.,Eres espabilado.
You're sharp.,Sois listas.
You're small.,Eres pequeño.
You're small.,Sois pequeños.
You're small.,Sois pequeñas.
You're smart.,Eres inteligente.
You're smart.,Sos inteligente.
You're smart.,Son inteligentes.
You're smart.,Sos listo.
You're smart.,Eres listo.
You're smart.,Son listos.
You're smart.,Sos lista.
You're smart.,Eres lista.
You're sweet.,Eres muy dulce.
You're tired.,Estás cansado.
You're tired.,Estás cansada.
You're tough.,Eres duro.
You're witty.,Eres ingenioso.
You're witty.,Eres ocurrente.
You're wrong.,Estás equivocado.
You've tried.,Lo has intentado.
A car hit Tom.,Un auto atropelló a Tomás.
Am I approved?,¿Yo aprobé?
Am I approved?,¿Estoy aprobado?
Am I dreaming?,¿Estoy soñando?
Am I included?,¿Yo estoy incluido?
Am I mistaken?,¿Estoy equivocada?
Am I safe now?,¿Estoy yo a salvo ahora?
Are they busy?,¿Están ocupados?
Are they cops?,¿Son polis?
Are they gone?,¿Se han ido?
Are they gone?,¿Se han marchado?
Are they here?,¿Están aquí?
Are they here?,¿Están ellos aquí?
Are they here?,¿Están ellas aquí?
Are they tall?,¿Son altos?
Are they tall?,¿Son altas?
Are you a cop?,¿Eres «poli»?
Are you a cop?,¿Eres de la pasma?
Are you alone?,¿Estás sola?
Are you angry?,¿Estás enojada?
Are you awake?,¿Estás despierta?
Are you blind?,¿Es usted ciego?
Are you blind?,¿Está usted ciego?
Are you bored?,¿Estás aburrido?
Are you bored?,¿Te aburres?
Are you bored?,¿Te estás aburriendo?
Are you crazy?,¿Te has vuelto loco?
Are you crazy?,¿Estás loco?
Are you drunk?,¿Estás borracho?
Are you drunk?,¿Estás ebrio?
Are you drunk?,¿Estás embriagado?
Are you funny?,¿Eres gracioso?
Are you going?,¿Vas a ir?
Are you going?,¿Va a ir usted?
Are you happy?,¿Estás contento?
Are you happy?,¿Eres feliz?
Are you happy?,¿Sos feliz?
Are you happy?,¿Contento?
Are you happy?,¿Es usted feliz?
Are you ready?,¿Estás lista?
Are you ready?,¿Están listos?
Are you there?,¿Estás?
Are you tired?,¿Estás cansado?
Are you tired?,¿Estás cansada?
Are you upset?,¿Está usted molesto?
Ask an expert.,Pregunta a un experto.
Be a good boy.,Pórtate bien.
Be reasonable.,Sea razonable.
Be reasonable.,Sé razonable.
Be respectful.,Sé respetuoso.
Be respectful.,Sed respetuosos.
Be supportive.,Apóyame.
Be supportive.,Apóyanos.
Beat the eggs.,Bate los huevos.
Beware of dog.,Cuidado con el perro.
Boys run fast.,Los niños corren rápido.
Break it down.,Rómpelo.
Break it down.,Estropéalo.
Break it down.,Rompedlo.
Break it down.,Descomponlo.
